S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party
84,SAGAR(5),DR. LATA WANKHEDE,787979,471222,BJP
85,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312,BJP
86,DAMOH(7),RAHUL SINGH LODHI,709768,406426,BJP
87,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229,BJP
88,SATNA(9),GANESH SINGH,459728,84949,BJP
89,REWA(10),JANARDAN MISHRA,477459,193374,BJP
90,SIDHI(11),DR. RAJESH MISHRA,583559,206416,BJP
91,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340,BJP
92,JABALPUR(13),ASHISH DUBEY,790133,486674,BJP
93,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846,BJP
94,BALAGHAT(15),BHARTI PARDHI,712660,174512,BJP
95,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618,BJP
96,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696,BJP
97,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408,BJP
98,BHOPAL(19),ALOK SHARMA,981109,501499,BJP
99,RAJGARH(20),RODMAL NAGAR,758743,146089,BJP
100,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225,BJP
101,UJJAIN(22),ANIL FIROJIYA,836104,375860,BJP
102,MANDSOUR(23),SUDHEER GUPTA,945761,500655,BJP
103,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232,BJP
104,DHAR(25),SAVITRI THAKUR,794449,218665,BJP
105,INDORE(26),SHANKAR LALWANI,1226751,1175092,BJP
106,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018,BJP
107,KHANDWA(28),GYANESHWAR PATIL,862679,269971,BJP
108,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761,BJP
109,Jalgaon(3),SMITA UDAY WAGH,674428,251594,BJP
110,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183,BJP
111,Akola(6),ANUP SANJAY DHOTRE,457030,40626,BJP
112,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603,BJP
113,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306,BJP
114,Mumbai North(26),PIYUSH GOYAL,680146,357608,BJP
115,Pune(34),MURLIDHAR MOHOL,584728,123038,BJP
116,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771,BJP
117,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858,BJP
118,Bargarh(1),PRADEEP PUROHIT,716359,251667,BJP
119,Sundargarh(2),JUAL ORAM,494282,138808,BJP
120,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836,BJP
121,Keonjhar(4),ANANTA NAYAK,573923,97042,BJP
122,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334,BJP
123,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156,BJP
124,Bhadrak(7),AVIMANYU SETHI,573319,91544,BJP
125,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587,BJP
126,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567,BJP
127,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664,BJP
128,Kalahandi(11),MALVIKA DEVI,544303,133813,BJP
