S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party
388,Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930,AITC
389,Jadavpur(22),SAYANI GHOSH,717899,258201,AITC
390,Kolkata Dakshin(23),MALA ROY,615274,187231,AITC
391,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560,AITC
392,Howrah(25),PRASUN BANERJEE,626493,169442,AITC
393,Uluberia(26),SAJDA AHMED,724622,218673,AITC
394,Srerampur(27),KALYAN BANERJEE,673970,174830,AITC
395,Hooghly(28),RACHNA BANERJEE,702744,76853,AITC
396,Arambagh(29),BAG MITALI,712587,6399,AITC
397,Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868,AITC
398,Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048,AITC
399,Medinipur(34),JUNE MALIAH,702192,27191,AITC
400,Bankura(36),ARUP CHAKRABORTY,641813,32778,AITC
401,Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572,AITC
402,Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981,AITC
403,Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564,AITC
404,Bolpur(41),ASIT KUMAR MAL,855633,327253,AITC
405,Birbhum(42),SATABDI ROY,717961,197650,AITC
406,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222,DMK
407,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945,DMK
408,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689,DMK
409,SRIPERUMBUDUR(5),T R BAALU,758611,487029,DMK
410,KANCHEEPURAM(6),SELVAM. G,586044,221473,DMK
411,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559,DMK
412,VELLORE(8),DM KATHIR ANAND,568692,215702,DMK
413,DHARMAPURI(10),MANI. A.,432667,21300,DMK
414,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931,DMK
415,ARANI(12),THARANIVENTHAN M S,500099,208766,DMK
416,KALLAKURICHI(14),MALAIYARASAN D,561589,53784,DMK
417,SALEM(15),SELVAGANAPATHI T M,566085,70357,DMK
418,NAMAKKAL(16),MATHESWARAN V S,462036,29112,DMK
419,ERODE(17),K E PRAKASH,562339,236566,DMK
420,NILGIRIS(19),RAJA A,473212,240585,DMK
421,COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068,DMK
422,POLLACHI(21),ESWARASAMY K,533377,252042,DMK
423,PERAMBALUR(25),ARUN NEHRU,603209,389107,DMK
424,THANJAVUR(30),MURASOLI S,502245,319583,DMK
425,THENI(33),THANGA TAMILSELVAN,571493,278825,DMK
426,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738,DMK
427,TENKASI(37),DR RANI SRI KUMAR,425679,196199,DMK
428,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,TDP
429,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,TDP
430,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,TDP
431,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,TDP
432,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,TDP
433,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,TDP
434,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,TDP
435,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,TDP
436,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,TDP
437,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,TDP
438,Nandyal(17),DR BYREDDY SHABARI,701131,111975,TDP
439,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,TDP
440,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,TDP
441,Hindupur(20),B K PARTHASARATHI,725534,132427,TDP
442,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,TDP
443,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,TDP
444,Valmiki Nagar (1),SUNIL KUMAR,523422,98675,JD
445,Sheohar(4),LOVELY ANAND,476612,29143,JD
446,Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356,JD
447,Jhanjharpur(7),RAMPRIT MANDAL,533032,184169,JD
448,Supaul(8),DILESHWAR KAMAIT,595038,169803,JD
449,Madhepura(13),DINESH CHANDRA YADAV,640649,174534,JD
450,Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180,JD
451,Siwan(18),VIJAYLAKSHMI DEVI,386508,92857,JD
452,Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868,JD
453,Banka(27),GIRIDHARI YADAV,506678,103844,JD
454,Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870,JD
455,Nalanda(29),KAUSHALENDRA KUMAR,559422,169114,JD
456,Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,594807,94473,SHSUBT
457,Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602,SHSUBT
458,Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061,SHSUBT
459,Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001,SHSUBT
460,Mumbai North East(28),SANJAY DINA PATIL,450937,29861,SHSUBT
461,Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384,SHSUBT
462,Mumbai South(31),ARVIND GANPAT SAWANT,395655,52673,SHSUBT
463,Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529,SHSUBT
464,Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846,SHSUBT
465,Wardha(8),AMAR SHARADRAO KALE,533106,81648,NCPSP
466,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199,NCPSP
467,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121,NCPSP
468,Baramati(35),SUPRIYA SULE,732312,158333,NCPSP
469,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951,NCPSP
470,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929,NCPSP
471,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553,NCPSP
472,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837,NCPSP
473,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479,SHS
474,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650,SHS
475,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144,SHS
476,Thane(25),NARESH GANPAT MHASKE,734231,217011,SHS
477,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48,SHS
478,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615,SHS
479,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426,SHS
480,Vaishali(16),VEENA DEVI,567043,89634,LJPRV
481,Hajipur(21),CHIRAG PASWAN,615718,170105,LJPRV
482,Samastipur(23),SHAMBHAVI,579786,187251,LJPRV
483,Khagaria(25),RAJESH VERMA,538657,161131,LJPRV
484,Jamui(40),ARUN BHARTI,509046,112482,LJPRV
485,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,YSRCP
486,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,YSRCP
487,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,YSRCP
488,Rajampet(24),P V MIDHUN REDDY,644844,76071,YSRCP
489,Patliputra(31),MISHA BHARTI,613283,85174,RJD
490,Buxar(33),SUDHAKAR SINGH,438345,30091,RJD
491,Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591,RJD
492,Aurangabad(37),ABHAY KUMAR SINHA,465567,79111,RJD
493,Alathur (9),K.RADHAKRISHNAN,403447,20111,CPI(M)
494,SIKAR(5),AMRARAM,659300,72896,CPI(M)
495,DINDIGUL(22),SACHITHANANTHAM R,670149,443821,CPI(M)
496,MADURAI(32),VENKATESAN S,430323,209409,CPI(M)
497,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,IUML
498,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,IUML
499,RAMANATHAPURAM(35),NAVASKANI K,509664,166782,IUML
500,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111,AAAP
501,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846,AAAP
502,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560,AAAP
503,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264,JMM
504,Dumka(2),NALIN SOREN,547370,22527,JMM
505,Singhbhum(10),JOBA MAJHI,520164,168402,JMM
506,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,JnP
507,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,JnP
508,Arrah(32),SUDAMA PRASAD,529382,59808,CPI(ML)(L)
509,Karakat(35),RAJA RAM SINGH,380581,105858,CPI(ML)(L)
510,Mandya(20),H.D. KUMARASWAMY,851881,284620,JD(S)
511,Kolar(28),M. MALLESH BABU,691481,71388,JD(S)
512,VILUPPURAM(13),RAVIKUMAR. D,477033,70703,VCK
513,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554,VCK
514,TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928,CPI
515,NAGAPATTINAM(29),SELVARAJ V,465044,208957,CPI
516,Bijnor(4),CHANDAN CHAUHAN,404493,37508,RLD
517,Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459,RLD
518,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416,JKN
519,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794,JKN
520,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583,UPPL
521,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351,AGP
522,Gaya(38),JITAN RAM MANJHI,494960,101812,HAMS
523,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,KEC
524,Kollam(18),N K PREMACHANDRAN,443628,150302,RSP
525,Raigad(32),TATKARE SUNIL DATTATREY,508352,82784,NCP
526,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910,VOTPP
527,MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288,ZPM
528,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656,SAD
529,NAGAUR(14),HANUMAN BENIWAL,596955,42225,RLTP
530,BANSWARA (20),RAJ KUMAR ROAT,820831,247054,BHRTADVSIP
531,Sikkim(1),INDRA HANG SUBBA,164396,80830,SKM
532,TIRUCHIRAPPALLI(24),DURAI VAIKO,542213,313094,MDMK
533,Nagina(5),CHANDRASHEKHAR,512552,151473,ASPKR
534,Mirzapur(79),ANUPRIYA PATEL,471631,37810,ADAL
535,Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880,AJSUP
536,Hyderabad(9),ASADUDDIN OWAISI,661981,338087,AIMIM
537,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847,IND(Independent)
538,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053,IND(Independent)
539,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120,IND(Independent)
540,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053,IND(Independent)
541,Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225,IND(Independent)
542,BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142,IND(Independent)
543,Ladakh(1),MOHMAD HANEEFA,65259,27862,IND(Independent)
